	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00259	100	16	0	0	183.32	298.68	175.68	280.32	441.8	501.2	300.96	117.04	118.48	105.16	330.12	297.6	49.64	0	108	200	125	100	67	0	0	0	0	0	0	0	0	0	0	0	121.2	496.16	1641.32	2448.88	1782.56	828.96	521.92	459	296.04	264.96	208.92	392.68	615.44	517.36	401.28	469.84
TSS_00261	59	100	116	100	26.2	84.8	285.8	423.2	405	272	108	50	100	76	276	452.4	309.6	144.6	106.4	97	8	4.2	167.8	446.8	1702.8	3889.4	3548.2	1623.6	835.2	589.4	531.4	520	317.6	265.4	638.2	1062.2	1079.8	684.4	796.8	1028.4	926	724.4	559.6	355.4	172.4	289.6	286.2	116.8	38	0
TSS_00268	74	94	200	170	100	36	0	90	217	343.8	479.2	270.04	96.96	167.16	123.84	132.36	174.64	96.64	8.36	71	100	44.12	294.48	507	799.56	1985.64	3106.6	5359.76	8145.28	7759.88	4497.68	1791	871.64	546.36	395.76	346.24	431	391.92	525.32	1315.96	2482.32	3125.6	2259.12	855.52	191.24	0	66.16	187.84	175.84	112.16
TSS_00269	45	0	42	100	58	0	33	176.4	318.6	223.6	136.4	256	292	285	220	59	0	0	109.28	488.72	509.2	479.8	763.24	956.92	1079.12	926.76	547.64	246.12	110	250.56	464.4	401.88	372.52	388.84	283.12	437.88	442.48	166.72	302.04	533.56	316.96	22.24	128	208.8	171.08	188.32	115.88	191.92	379.04	406.96
TSS_00270	115.68	185.52	177.88	206.8	118	32.64	328.56	531.16	295.44	172.92	443.28	432.68	288.32	385.24	371.72	411.68	458.4	238.16	110	261.32	567.04	936.36	1079.32	950.12	743.64	477.8	516.2	469.92	98.08	0	0	69	225	280	297	251	135.4	229.6	314.6	170.4	28	0	63	100	37	0	50	100	53.84	260.16
TSS_00278	0	0	0	0	0	0	3.12	153.88	196.88	46.12	0	182	310.4	218.72	285.64	810.36	1422.76	1715.04	1273.04	373.88	8.16	0	0	0	0	59	100	41	0	146	300	154	371	771	537.84	262.16	217.16	223.84	229.72	236.28	188.24	223.76	271.04	182.96	85	0	0	0	0	0
TSS_00285	108	254	192	197	264	167	136	82	0	86	312	314	131.2	203.4	307.2	196.6	49.6	0	0	0	0	0	0	0	28	100	135	100	37	0	0	125.2	477.6	665.8	421.6	165	295.8	414	278	147	127	83	0	0	80	123	188	192	132	88
TSS_00292	0	0	0	0	25	100	122.16	328.96	902.16	1399.6	1181.84	615.28	268.84	174.16	225	237	463.88	1329.24	2515.32	3000.56	5099.32	4682.56	1102.08	195.04	344.4	291.6	178.64	243.36	314.36	262.64	157	99	100	105	204.48	253.52	213.52	182.48	88.16	138.84	233.84	165.64	169.52	332.32	381.68	274.2	236.8	189	130	100
TSS_00293	87	174	184	180.72	246.28	201.28	128.32	238.4	262.4	190.6	144	149	263.84	358.16	254.92	509.72	835.64	639.08	479.6	436.04	238	23	1.44	255.16	497.44	629.88	939.6	702.96	282.52	365	454.6	368.76	474	518.28	258.32	408.04	544.08	336.92	394	411	366	374.2	319.8	318.8	240.24	305.96	295.96	160.8	1594.72	4897.16
TSS_00294	157	133	43	0	0	11.96	99.04	88.04	0.96	0	0	55	200	229	238	350	262	66	84	169	116	31	0	0	52	116	251.24	1031.04	1406.48	956	747.24	398.52	331.28	574.68	589.72	486.76	350.44	639.6	571.6	206.4	245	191	55	4.16	91.84	95.84	9.2	88.96	254.96	279.04
