	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_40795	259	376.08	540.92	648.44	1243.56	1362.6	1033.4	661.88	350.92	1170.2	1816.72	1990.96	2155.44	2250.04	2944.6	3369.88	3849.8	3354.88	2077.52	1296.36	587.12	451.64	410.64	554.44	1285.52	2571.48	4184.28	3481.32	1802.2	3618.28	7541.92	8099	5391.12	4548.56	5265.4	5931.36	5029.56	3057.16	3122.48	3567.08	2392.88	1228.36	1149	1506	1106.92	940.08	1295.08	1235.92	959	847.72
TSS_40796	934.68	1050.24	876.88	330	264.44	329	543	958	1090.92	748.08	272.08	257.92	1051.96	1548.04	910.04	204.96	50	167	382	389	200	114.56	323.44	724.44	741.56	328	183	404.92	541.08	311.08	365.64	556.68	380.92	440.28	364.36	269.04	316	263	369.04	531.96	637.72	1234.28	1353.8	1058.2	688.44	321.96	1144.6	1797.36	1982.48	2156.72
TSS_40799	452.8	414.2	379.2	270.2	374.6	219.6	145.4	412.4	677.4	1199.8	1284.6	1147.4	1225.4	3052.4	4934.2	3956	2700.2	3370	5954.4	6248.2	3051.4	823.4	496.4	1268.4	3171.8	3922.4	3259.4	2824	2561.8	2956.2	3141.4	1994	3120.2	3252.6	1102.6	468.4	98.8	72.4	113.6	271.2	496	358.4	90.4	2.4	0	193	322	207	78	0
TSS_40800	0	0	0	0	74	121	126	272.92	570.08	406.08	29.92	0	11	207.76	490.24	392.24	173.04	329.72	425.72	170.28	0.72	153.56	294	312.44	959	1973.2	2555.36	2893.28	2768.08	2597.88	2186.32	3080.04	3671.64	2021.6	1631.88	2029.84	1562.16	1287	1255.96	710.88	510.72	756.76	505.96	174.72	100.48	286.52	502.88	715.56	926.96	696.16
TSS_40802	0	0.48	87.68	343.68	496	283.84	116.32	72.88	97.36	448.88	1000.52	3250.52	3185.64	1957.2	3113.88	2958.44	2576.36	2812	3235.08	3922.88	3238.36	1324.08	498.48	773.48	2905.48	6207.24	6046.08	3427.6	2690.44	3860	4978.04	3185.68	1214.68	1140.68	1292.12	1209.56	696.28	420.88	152.28	207.92	378.92	270.04	375.04	418.04	437.76	705.2	587.2	467.8	654.24	549
TSS_40804	884.04	627.72	498.2	474.28	399.76	294	224	300	151	76	474.32	745.68	425.68	78.32	0	0	0	73	435	883.52	2153.48	2361.44	1774.96	1855.76	1555.6	1713.44	2482.92	2527.64	2039.8	1710.56	1919.08	2035.76	2127.16	2156.72	1320.24	1321.92	1620.32	1546.68	1469.44	1172.2	1065.36	977.36	597.92	346.72	138.72	205.28	543	528	264	269.92
TSS_40811	792	479	8	0	4	96	396.8	1246.2	1205.6	778.4	703.2	276.8	260.4	349.6	563.2	1162.6	1684.6	2773.2	4136	3086	1386.2	1120.2	762	604.4	1264.4	2368.8	3980.2	6287.6	6059.2	4547.8	4938	6252.6	5658.8	4095.8	6147.4	8903.8	7672.8	4310.6	2471.4	2539	2145.8	1065.6	1440.8	2206.6	2110	1836	2107.6	2607.4	2119.6	1420
TSS_40818	53	288	392	290	207.52	312.48	814.48	909.52	348	100	85	0	17.28	295.64	558.72	991.44	766	312.92	310	102.24	136.72	199.8	289.28	297.96	178	100	83.08	277.92	306.92	122.08	152	300	233	201	405	507	665.6	551.04	408.76	490.96	330.64	198	159	52	0	55	153.52	235.48	264.48	209.52
TSS_40821	390.2	472.8	613.8	628.2	339	352	356	159	350	366	74	100	87.4	159.6	264.6	546.4	822.8	949	711	545.6	869.8	1277.6	1021.4	230.6	448	1351.4	1661.6	2023.8	2771.8	2267	1102	850.8	1439.4	2265.2	2097.2	1271	658	379.6	692.4	735	506	419.4	554.2	685.4	411.4	242.6	270.2	377.8	287.8	64.2
TSS_40823	0	304	500	261.8	277.2	416.2	511.8	392	251	226	105	165	251.6	736.4	740	382.8	584.4	726.4	658.6	354.4	243.4	389	394.6	291.4	272.4	219.6	110	133.4	293.6	201.6	136.4	512	796	588	324	402	487	314	221	226	246.6	255.4	197.4	343.8	638.8	545.8	353.2	440	720.6	858.4
