	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_16451	105.72	107.28	139.4	214.84	265.76	208.76	223.12	402.12	583.32	774.44	1003.8	944.28	988.16	1477.28	1929.96	2287.6	3809.72	5280.68	3767.2	1875.16	2213.92	2623.56	2110.08	1232.88	1790.96	3433.44	4328.8	3189.52	1984.6	2545.04	2711.2	2114.12	1731	2252.28	2469.4	1968.6	1509.32	1617.2	1429.16	675.08	645.24	551.56	287.92	595.68	682.04	448.6	363.52	224.88	125.8	168
TSS_16454	183.68	292.32	215.56	69.44	207.52	615.48	752.48	418.52	476.76	896.24	1032.68	1893.8	2620.04	2327.56	2485.72	2956.36	3316.16	4251.48	4536.52	3747.48	4054.8	4340.84	3529.56	1596.24	370.32	2270.8	7420.88	11986.2	13100.2	11554.1	8171.32	4602.44	3514	6101.6	6386.52	4688	5523.4	7120.28	7294.56	6497.52	7051.72	7309.08	6481.08	5028.84	4695.72	5456.6	4678.8	4358.92	4649.04	3792.04
TSS_16456	1530.04	1285.64	1054.56	469.16	275.48	520.2	730.12	507.8	190.32	274.72	298.72	86.28	106	433	738	563	418.56	688.88	933.24	1399.2	2318.48	2574.24	2263.08	2707.6	3296	3678.56	4406.24	4299.88	3782.48	4100.84	4246.64	2648.8	623.16	804.8	4686.28	10126.5	12998.5	12623	9847.08	6245.84	3638.52	4675.12	6703.32	5411.92	4874.4	6406.32	7364.44	6956.2	6371.56	7470.12
TSS_16461	0	0	30	100	130	100	133	100	84	118.4	122.6	81.6	17.2	99.2	194.2	200.8	89	221.4	866.2	1451	2195.6	3187.8	2299	873	1085.2	5820	13603.6	15730.8	12766.4	11604.8	11279.8	8524.2	5267.4	2594.4	1238.4	1074.8	1126.6	1190.8	886.6	636.4	775	1273	1227.8	616.6	269.2	200.2	113.2	30.8	132	170
TSS_16465	172	159	86	200	210	101.84	130.16	98.16	1.84	0	68	406	661.56	706.44	968.72	1396.2	1528.96	1371.6	2664.6	4528.2	4894.16	4519.88	2786	1126.28	1554.6	2803.12	4154.16	5652.96	6690.92	6085.28	4052.6	2784.48	2419.56	2082.6	1737.56	1635.96	1255.6	554.68	717.32	642.32	325.72	987.96	858.96	116.04	61	0	0	0	34	190
TSS_16467	58	100	81	100	158	231	237	169	250	641	976	1650	3926	6711	8271	6865	4710	5541	8055	15625	21220	13655	4253	2535	5764	17367	27105	20817	9928	10768	23197	30600	23351	10083	4973	8526	13809	17258	13310	7880	5782	3476	1602	660	841	1180	903	555	328	107
TSS_16472	100	44	100	89	100	83	57	156	195.16	347.08	345.6	146.92	202.24	151.76	88.24	127.6	327.56	796.48	780.2	691.76	1555.48	2163.32	1493.52	1145.92	4132.08	8703.04	10816.8	12568.7	17792.4	18495	11351.5	7030.04	7500.2	9441.88	9009.04	6220.4	6250.72	6728.12	6279.76	5255	3310.96	3388.72	2867.44	1205.28	652	862.6	2810.56	3950.2	3635.48	3932.48
TSS_16474	335	178	65	0	34	142.48	348.52	257.52	174.48	300	214	231	485.6	891.48	1556.84	2711.24	5910.4	8343.72	6889.84	5825.56	5713.12	2997	373.52	134.44	1107.76	2609.88	3786.96	5120.6	7367.28	9063.44	8137.76	7174.6	7497.92	8667.04	9270.36	8691.72	7708.52	5566.2	3443.44	2493.72	2785	2566.8	2671.4	3471.24	2737.44	1491.32	1151.56	1659.32	2012.44	1634.72
TSS_16479	141.4	100	77	200.6	380.2	481.6	608.8	530.6	374.2	255.2	110.8	32	20	106.4	347.4	1184.8	2307.4	3674.6	4111	5448.2	8070.2	8428.8	4938.4	1228.6	982	2549.6	3403.4	3963.2	6257	8081.2	7847.2	7167.2	7009	5902.8	4011.4	2882.2	2616.4	2689.2	1999.2	787.4	312.6	666.2	1066	741.6	301.4	98	64	100	117	100
TSS_16481	31	129	200	71	68.16	391.84	353.84	169.16	278	139	57	114	297	486	460.68	677.32	744.88	1167.24	2864.64	4700.88	5663	4638.64	2996.76	2000.32	3309.56	6715.92	5646.64	3715.44	4636.16	6508.28	6817.64	5001.84	3701.6	2258.2	1582.44	1015.92	305	107.68	116.32	92.32	0.68	0	154	284	246	126	100	90	10	100
TSS_16482	275.8	98.2	159.4	172.6	137	93	119	144	137	200	152.4	282.6	491.6	319.4	200	98	12	334	743	2041	3110	2802	2243.4	1322.6	2020.6	5326	5824.8	3174	2018.6	3592.6	6061.4	7399.2	6277.4	4761.2	5321.8	5108	4486	5086.4	6041.6	5040.8	3562.6	4437.2	4378	2918.4	2763.8	2456.6	1801.2	1738.2	1180	516.8
TSS_16486	0	0	0	0	0	0	0	0	0	86	252.52	318.96	459.32	891	1232.2	1721.64	1763.04	1262.16	1503.6	2605.44	3519.4	4306.84	4623.64	3208.84	3012.32	3970.76	3534	2938.52	2476.72	1992.32	2243.44	2517.88	2143.2	2456	2231.48	1270.32	1708.76	1735.8	1192.88	817.52	424.48	428	281.64	161.36	97.36	115.64	241	195	59	0
TSS_16487	476	519	150	100	302.8	870.2	1429.8	1381.8	1067.2	2224.8	5560.4	7453.2	7834.2	8496.4	6022.4	3160.6	1790.2	857	1612.4	3160	3101.6	2280.8	2605.8	1715.2	549.8	2243	5403.6	7578.4	9058.8	9632.6	8069.2	6181.6	4874	3458	3532.4	3491	1842	907.8	2706.6	5474.2	5805.2	4906	4639.6	5547.2	4479.4	1368.6	1110.6	1637.8	1387.4	1339.8
TSS_16496	532.28	481.72	458.96	561.44	389.64	155.96	100	364.56	777.48	1014	787.24	1569.76	2301.64	2081.32	2956.2	3898.56	4839.96	5746.12	6549.68	8926.92	8865.04	5401.44	2242.2	974.84	3456.16	9934.44	15568.8	14816.5	12325.7	11067.5	8451.68	7427.04	6003.12	3597.36	3651.04	3469.56	2062.04	1336.44	882.2	425.96	681.6	582.24	381.6	366.24	225.76	99.92	99.08	98.88	10.12	0
TSS_16497	575	176	0	0	0	5	103.84	299.16	466.16	396.96	214.88	98.88	56.12	100	118	252	241	48	0	0	10	117	243	287.64	383.88	791	1071.6	986.76	882.48	920.56	1648.08	1632.04	560.96	68.36	141.64	253.64	158.36	120	200	140	362	627	338	122	100	66	117	168.32	163.68	169.68
TSS_16503	13	18	282	285.6	110.4	96.4	82.6	100	25	156	200	44	0	0	315.4	793.6	679.6	708.4	1267	853	539	730	309.2	477.8	2169.8	7604.2	10506.2	9010.8	7594	6945.6	7146.8	5327.2	2799.2	1883	1972.6	1885.8	1687	914.6	270.2	184	144	137	351	345	215	388	234	12	0	22
TSS_16505	0	0	0	26	100	79.52	98.48	94.48	202.52	300	99	39	170	198	330	263	0	0	0	44	132.72	347.28	367.28	232.72	457.28	924.48	1387.36	1302.56	920.92	685.96	505.44	400	229	192.56	395.44	682.64	1016.76	1069.4	836.84	715.36	394.88	283.12	356.08	298.32	488.6	417.6	288.4	204	80	195
TSS_16506	100	50	152	429	448	244	200	108	261	599	796	1409	1442	718	404	595	1300	2277	2594	3068	3888	3939	2400	664	833	1699	2215	2737	4350	5756	5490	4024	3052	3288	2587	2187	2081	1230	987	1020	1008	858	926	688	282	450	730	492	74	0
TSS_16507	0	0	68	188	132	12	0	0	52	143	148	149	222	246	295	511.44	961.84	1428.12	1375.32	739.44	431.84	346.2	1277.96	4197.88	7221.88	7049.36	6591.04	6560.16	4883.96	4009.44	3533.28	2001.56	1245.92	2102.92	2145.08	1725.2	1690.52	2681.96	3838.8	3533.84	2348.16	2383.48	2844.36	2509.64	1681.32	1744.12	2269.2	1328.08	895.24	1025.4
TSS_16512	642	343.04	200.96	224.96	183.04	368	481	514.08	465	872.84	1384.8	1087	731.52	1401.04	2603.12	2262.48	1399.52	1638.16	1748.28	1421.72	808.76	202.68	299.88	1307.92	2807.84	3783.6	3974.4	3945.6	4208.12	3714.44	2153.84	1428.4	1335.8	729.72	218.44	90.32	63.68	100	73.2	198.8	164.8	1.2	17.6	500.4	615.4	199.6	67	0	83	100
TSS_16513	158.8	125.8	173.2	269	134	48	100	114	100	89	180	230	120	126	226.04	392.24	889.72	1374.72	1581.48	2818.16	3068.72	2784.08	3389.92	2171.4	1281.8	3782.08	9890.04	14741.3	20415.7	29194.4	32162.9	22457.5	12263.4	12164.6	11945.2	9019.32	5700.08	4226.36	3967.32	2115.32	939.72	850	674.24	345.72	292.76	387.72	470.36	532.68	340.68	35.32
TSS_16515	187	211	152	52	98	300	202	0	126	200	74	66	112.24	533.76	623.76	299.68	756.92	1681.16	2597.24	5100.88	6981.32	7113.28	7801.6	5238.84	1888.36	3201.12	4753.6	3809.56	2997.88	4226	5276.64	6342.96	6134.44	4337	3884.32	2806.08	1773.8	1769.48	1946.52	1591.76	1216	1129.44	1321.08	1536.64	1024.28	492.2	340.16	225.52	254.48	206.12
TSS_16517	1126.68	500.32	70.68	0	0	0.32	83.68	99.68	106.32	200	184	200.12	260.88	199.88	65.12	0	210	300	90	42.48	479.52	725.36	529.64	357.96	938.16	3887.48	8188.44	10957	9866.92	6571.52	5173.44	4770.12	3021.16	1458.52	1511.2	1513.8	872.32	351.8	219.2	164	114	200	86	0.88	97.12	99.12	74.88	137	128	63
TSS_16520	493.16	148.84	142	250.2	250.8	144.4	245.6	274.4	97.6	100	64	0	0	40.28	408.72	556.72	596.6	735.48	826.88	628.52	632.88	2159.32	2859.52	1506.68	477.32	1558.36	2472.64	1542.8	1293.6	2249.6	3098.84	3337.32	2624.04	2126.6	2095.88	2661.84	5261.16	8054.84	6813.92	4430.04	2888.72	1544.88	1254.92	1388.08	1626.6	1319.16	958.72	458.76	201.04	218
TSS_16528	377.4	447.4	445.2	234.8	224.8	305.4	253.8	309.4	407	337	379	244	59	250	313	250	144	36	171	329	343.4	455.2	584.6	423.8	721.4	1012.2	862.4	1213.8	1088.2	413	306.6	567.4	422.4	49.6	0	0	104	200	96	59	100	41	67	109.6	157.4	260.4	175.6	30	0	4.8
TSS_16529	253	80	403	575	438	444.44	610.56	400.56	128.88	212.56	252.56	187.44	230	308.64	392.36	515.24	566.52	807.48	1345	1183.64	533.12	290	392.2	1530.8	2210.48	2402.52	2972.32	2478.56	2533.4	2302.32	1315.44	872.48	467.16	451.32	351	169	181	188	77	186	384	214	45	100	71	0	0	87	200	113.36
TSS_16535	255	2.28	269.72	511.44	456.16	416.68	309.68	306.36	443.28	654.76	1079.36	1588.52	2763.96	3493.24	4172.64	5770.92	5433.08	3976.6	4241.32	3893.96	1964.8	585.24	66	44.48	621	3198.48	6195.64	6348.36	5825.92	5317.76	4533.64	3220.68	1337.12	935.92	586.68	41.32	162	296	238	97.48	159.52	199.52	40.48	0	0	0	0.84	84.16	99.16	54.84
TSS_16536	3.04	89.36	560.64	951.28	1092.68	978.68	761.4	680.96	933.28	1241.68	1372.76	1400.96	1695.08	2897.84	3392	3396.56	3972.08	4059.44	3329	3627.64	3238.8	2573.16	2467.32	1002.44	447.2	1507.44	2784.6	4410.96	4991.72	3355.12	1239	1154.56	1968.8	1053.92	153.64	18	0	31.2	855.72	2338.16	4139.16	6711.52	6907.4	3904.16	2755.4	4813.32	5783.52	3739.08	1882	1567.32
TSS_16541	60.96	227.04	503.04	454.96	450.72	981.84	1829.12	3848.56	4931.28	3508.68	1751	1260.76	2348.76	4613.4	8052.92	9065.36	8122.44	6685.92	3369.08	1940.92	3015.68	2012.56	394	312	345.72	646.72	1149.76	1705.36	1763.52	1141.48	823.56	1455.96	3140.4	4078.48	4036.24	3102.4	1910.48	1451.44	1285.68	1286.52	1871.24	2044.48	1480.52	1030.64	1111.68	1639.24	1461.2	1494.28	1451	860.32
TSS_16542	0	0	3.04	474.4	749.52	325.6	132.44	320	315	294.56	1055.24	1343.4	984.44	1509.24	2567.84	2878.36	3493.28	5603.48	6582.52	5628.72	5457.92	4487.2	2213.48	844.56	530.92	1283.88	2581.08	4831.76	7204.76	8801.48	9044.56	7061.52	4362.96	4217.32	4625.36	2949.36	1464.84	1316.96	1202.8	605.2	270	223	220	166	186	376	390	510	462	48
TSS_16556	996.92	731.76	1459.8	2066.28	1009.2	196.76	131	40	0	0	0	9.24	234.76	391.2	251.8	447.76	1103.48	2858.36	4920.44	6699.08	6719.8	3532.04	1587.8	1381.2	1220.6	2432.48	4040	4739.12	3361.44	1495.28	867.44	509.76	259.88	271.04	232.56	33.44	0	0	0	0	0	7.04	180.96	260.96	149.04	258	270	143	100	67.24
TSS_16559	1133	1661	1603	1002.6	639.6	1055	1586.6	1487.6	1258	844.4	739.2	1171.8	934.6	890	1503.4	2512.2	6029.2	9292.8	9897.8	10198	9403.2	6939	4613.4	2436.4	3278.8	8098.6	8819	6513.4	6436	6912.2	7975.8	8193.8	5386.8	2293	905.4	1083.2	1660	1905.4	1678.6	1324.2	1135.4	1059.8	2048.4	3363.2	2968.4	1641	916.2	568.4	453.8	557.4
TSS_16563	95.2	243.2	204.8	113	100	43	0	0	1.12	84.88	98.88	15.12	78	248.6	511	543.8	319	340.8	570.32	535.6	738.44	1625.68	1574.32	1173.56	1086.24	598.84	1780.08	6099.2	7192.6	3306.32	1833.24	2088.6	1268.76	1644	1764.28	1261.36	2554.48	7280.04	10815.7	10401.8	10374.2	12676.9	14229.5	12660	11261.4	10513.8	7829.04	4372.68	2325.92	1507.92
