	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_44748	12.48	0	1.2	340.6	1145	1059.4	349.8	266.52	513.04	847.92	1114.56	875.96	306.4	142.6	412	367	58	122.08	1880.6	5413.52	10336.7	12505.1	10381.3	6479.36	3342.8	4457.84	5482.84	5683.96	4798.12	2143.8	1068.96	494.32	58.72	433.92	672.92	438.08	177	28	0	0	0	0	26	100	74	36	100	64	1	100
TSS_44749	508.28	555.76	763	443	237	182	100	20	0	0	144	400	341	100	118	200	145	606.32	1515.8	2678.84	4887.04	5578.08	6296.2	7936.08	6655.2	5629.16	4988.24	6468.32	7146.04	4214.64	3517.48	3134.48	1684.32	1137.24	1324.6	1123.84	820.08	593	217	0	0	0	0	0	841.24	1696.76	1026.6	359.4	352.16	357.84
TSS_44750	440	882	917	839	564	700.8	1063.2	1114.2	1163.8	936	427.6	863.8	1180	1009.2	1991.4	2721	1882.2	1450.8	2645.8	2998.4	3429.8	5538.4	6207	5799.8	7003	9103.8	7322	4751.2	4716	5869	6406.2	3669.2	1650.2	958.4	696.2	1550.6	1427.6	488.4	167	103	100	34	64	200	168	481	808	419	60	308
TSS_44751	189.24	1383.68	2397.72	1926.16	1758.92	1236.56	1023.96	1663.88	3017.92	3925	3373.96	1840.08	1455.36	2274.32	2198.08	2611	4138.28	5063.88	4337.64	3286.6	2781.28	3847.4	6397.92	6621.28	5117.4	4380.76	3349.88	2657.44	1980.76	1308.12	1540.32	1072.72	483	1264.96	1380.56	2218.48	2483.68	718.8	76	196	200	4	0	5.52	98.48	94.48	90.52	100	11	0
TSS_44757	0	140	458	686	482	337	668	648	392	189	0	0	0	31.92	912.08	1098.08	956.92	1945.64	2552.8	2246.88	2532.64	3333.84	3298.68	3147.28	4087.52	3950.2	1839.88	1580.24	3058.36	4694.6	4707.92	2377.64	861.16	1100.44	1404.96	1419.32	947.16	787.84	873.8	771.2	466.12	14.88	6.08	400.92	493.92	99.08	0	0	0	7.6
TSS_44759	60	272	540	328	0	228	400	231	118	180	511.72	865.8	769.04	459.92	201.24	79.56	255.72	355.72	382.28	775	852	713.64	1163.52	1100.2	1029.16	1586.48	1382.32	798.64	1269.72	2388.36	2143.36	1846.88	3779.48	5627.68	5011.6	3643.24	2382.4	1623.32	1758.08	1588.8	1830.76	3115.48	2554.6	1331.16	1059.04	1130.44	1373.84	1301.72	1552.44	910.48
TSS_44760	599.28	224.72	100	4	165	300	188	142	170.76	608	1419.72	1626.52	1488.76	1003.48	1083.12	3055.6	7313.56	9660.36	6668.56	4519.36	7306.48	8120.08	5843.24	4180.48	2888.32	3425.28	3928.48	3022.08	1383.64	1254.12	1702.68	1305.92	1046.08	489.36	1139.92	1386.4	623.68	300.96	251	300	89	0	114	300	186	12.32	168.68	287.68	270.16	399.16
TSS_44761	952.52	1137	1352	1195	796	580	462.12	1117.8	1459.96	1510	1292.12	739.2	767.8	333	112	416	615	484	177.56	580.44	1061.84	1458.16	1745.64	1902.28	3107.32	3489.48	3218.36	3150.88	2051.16	1320.28	1269.56	2009.04	1883.56	490.4	230.04	635.64	845.36	563.4	182.6	4.8	191.32	412.08	390.68	283.12	442.96	823.04	975.04	622.96	442	822
TSS_44762	482	708	518	276	48	168	267.48	637.92	1990.12	1882.08	694.4	465.8	1320.2	3075.8	4283.56	4549.36	4705.96	4451.52	3299.76	3431.88	3259	2310.92	2107.4	2092.72	1408.12	671.84	2244.52	3342.28	2439	1394.88	1412.08	3646.84	3888.52	1484.6	524	1111.44	1412.36	1016.64	976.52	998.48	887.2	1299.8	1297.92	1075.08	838.88	393.8	642.32	1274.32	1490.68	1459
TSS_44763	3354.56	2330.28	1698.4	2395.84	5514.2	5911.04	3569	2177.8	873.36	155.68	519.68	1269.04	1398.96	770.64	200.36	386.04	921.16	2957.96	4779.76	4445.68	5848.68	10318.9	16954.6	15465.3	5986.28	1598.36	2022.16	3831.32	3855.88	2169.08	1627.56	1476.2	1703.76	2636.76	2532.96	1123.48	660.04	1664.12	1632.36	834.56	355.84	12.24	0	0	0	70	100	177.28	307.72	343.72
TSS_44770	91	0	184.8	924.2	972.2	731.8	844.4	575.6	632.6	468.4	166	1081.8	1854.2	1714.8	2728.2	5136.2	9071.2	9877.2	8581	9244	6580	4165.4	3432.4	2233.6	1830.4	1642.6	1122.6	233	262.4	495.2	845.8	905.2	663.8	571	228	0	0	198	342	202	58	0	124	231.6	266.4	263.4	660.6	605	49	29
TSS_44772	0	0	31	104.48	250.52	195.52	18.48	3.84	186.16	399.36	326.64	210.8	187.2	86	0	0	0	53	228	484	910	779	262	84	0	0	0	0	0	0	1.12	84.88	98.88	15.12	0	0	56	102.08	209.92	297.92	335.08	600	399	0	0	15	105	185	95	0
TSS_44777	46	100	54	0	4.4	256.6	895.6	643.4	0	67	100	33	32	200	210.4	461.6	826	1369.2	1439.4	990.4	1533.8	2185.2	2648.6	3827.6	4890.8	5893.2	4530.8	2138.2	2187.8	2431.4	1729.2	696.8	952.8	2811.6	3233.2	2263.8	3403.4	5939	6998.2	5917	4753.4	4372.6	2750.8	1326.4	2103.6	2615	2041.8	1885	2037	1276
TSS_44779	180	200	20	53	313	347	246	400	341	100	0	0	99	300	319	200	216	200	66	0	36.96	199.04	163.04	0.96	0	0	0	50.24	330.76	671	902	578.76	67.24	0	0	0	276	400	124	37.8	377.2	362.2	58.08	276.72	330.72	124.96	294.28	641.36	496.72	156.96
TSS_44780	125.92	64	39	360.68	654.32	537.32	306.68	125	166	332	334	145	0	0	126	481.64	781.36	790.36	613.64	328	79	0	0	0	0	0	0	0	0	15.96	287.04	350.04	312.96	234	54.2	694.48	1196.12	605.52	101.68	352	694	689	454	159	0	0	5.04	176.96	194.96	36.48
TSS_44784	373.96	549.76	709.4	1068.48	1545.8	1880.56	2083.76	2856.92	2869.4	2741	2713.92	1926.76	1890.72	2179.2	1908.64	1700.28	1304.56	1078.2	1439.24	1296.72	1501.24	2765.48	8004.72	13584.8	10971.8	4260	2301.64	2381.2	1264.96	814.56	412.84	111.8	0	0	21	100	79	172	1082	1528	838.12	770.88	779.88	257.12	347	880	1025	654	328	138
TSS_44786	743.96	883.24	507.48	536.84	829.84	547.92	18.72	0	0	0	803	900	97	0	0	0	0	53	196.8	1585.32	1603.08	161.68	0.12	142	455	595	345	112	100	64.2	191.56	533.04	708.44	353.76	92	100	186	200	22	0	0	0	0	10.56	288.44	289.44	174.04	396.52	237.52	3.48
TSS_44791	390.56	150.44	114.28	182.72	295.68	536.32	783.04	666.08	894.52	1006.24	425.44	631.36	1419.36	1783.28	1550.68	1072	1317.28	1921	3427.76	5221.92	6018.96	6179.2	4912.32	3049.52	2626.88	2691	3175.92	4253.72	4221.2	5868.04	6625.52	5771.12	4865.04	2756.88	1218.08	1889.84	3261.84	1919.76	470.2	300	564	898.08	908.12	858.72	486.88	43.2	0	0	0	0
TSS_44792	0	160	200	310	341.4	327.6	258.6	2.4	0	0	0	167.84	435.44	794.88	772.76	634.08	720.8	624.2	503	845	2742.64	3460.4	4158.6	6634.6	6098	5376.04	5367.28	3064.8	2354.56	4473.4	5795.2	4614.92	2818.92	2618.96	1940	745.68	557.36	444.64	267.64	1207.36	1376.08	509.92	1001.72	1263.28	590	20	0	0	0	0
TSS_44796	489.92	384.48	123.52	66	0	0	0	0	0	3.36	376.64	607.64	1109.36	1963.96	1944.04	1436.04	851.8	1411.52	3661.8	3652.8	1437.48	1841.96	3893.16	3431	2380.64	2936	4258.28	4529.48	2896.28	2404.24	3151.6	3336.92	3396.16	3437.28	3100.48	2909.04	3110.96	2498.56	1602.52	1486.36	1352.64	1113.84	764.88	1043.28	1111.28	398.72	259.72	565.8	584.76	292.2
