	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_29076	0	0	51	100	49	0	25	100	75	0	0	0	0	0	0	44	100	85	179	171	21	0	0	0	17	100	83	0	0	0	0	0	0	0	0	0	0	192	862	714.72	135.28	93.28	2.72	55	108	145	166	100	26	150
TSS_29081	0	34	200	236	100	105	100	25	0	0	0	0	0	30	100	70	0	37	100	63	0	1.44	86.56	98.56	13.44	0	0	0	0	0	5.76	94.24	110.24	105.76	119.44	272.68	446.44	332.72	211.72	156.6	189.4	357	459	281	125	107.56	344.44	492.44	249.44	289.12
TSS_29083	0.48	0	0	19	106.08	176.92	93.92	4.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52	94.48	98.48	5.52	88.96	376.04	423.04	223.96	94.08	99.72	249.12	367.28	244.8	149	200	84	0	0	82.04	839.92	1649	1553.08	1195.96	873.64	480.24	341.36	813
TSS_29085	100	70	0	0	0	0	2.88	144.12	197.12	111.88	103.6	214.4	196.4	29.6	0	0	0	0	0	0	0	0	0	0	5.4	93.6	94.6	6.76	84.64	99.64	15.36	0	30	100	78.64	99.36	91.36	77.64	279	252	236	506	486.8	337.24	509.16	562.76	522.04	377	348.84	710.16
TSS_29090	176	146	72	100	52	0	0	31	100	119	100	50	28	210	289	190	83	0	0	0	0	0	0	0	0	63	100	78	130	167.84	166.16	146.16	103.84	109	110.88	140.6	226.64	195.4	186.48	275	219.04	253.16	558.76	534.12	528.92	756.72	652.84	708.44	556.44	323.56
TSS_29092	349.68	397.32	367.32	492.64	740.8	786.8	611.68	342.24	264.52	347	256	133	39	0	0	0	0	3.08	89.92	96.92	10.08	67	100	110	100	23.44	130.56	362.56	344.44	237	180	168.88	332.12	277.32	224.68	351.8	370.72	336.48	279.92	457.08	639.56	480.44	361	388.24	355.84	444.16	518.68	369.6	275.36	313.12
TSS_29094	239	138	61	0	0	0	0	0	0	1.04	199.96	298.96	118.04	131	228.56	328.44	253.44	40.56	99	245	280.28	272.72	220.72	82.28	0	0	0	0	0	0	0	0	0	0	60	100	40	5.72	93.28	94.28	107.36	291.36	200.4	110.08	286.48	198.56	114.48	286	372	315
TSS_29096	0	0	68	100	32	90	200	111.08	85.92	115.92	154.08	303	260	80	0	0	1.2	107.8	198.8	112.2	152	180.72	131.28	99.28	16.72	0	0	0	35	106	165	94	0	0	28	116	202.24	375.76	469.76	253.72	181.52	175.36	302.64	287.56	211.44	191.6	105.4	200	118	100.6
TSS_29098	0	0	0	0	0	84	100	16	23	100	82.76	158.24	294.24	155.76	148	286	152	150	339.28	354.24	298.2	195.76	62.52	0	0	131	200	188	200	162	100	19	0	0	88.04	349.96	495.96	457.72	311.32	227.2	621.64	908.36	693.96	637.2	930.28	971.92	458.8	47.64	157.32	391.68
TSS_29101	30	0	0	0	0	0	0	33	100.4	214.08	287.12	152.92	12.48	0	0	52	147	148	70	100	157.32	183.68	197.68	116.32	28	5	145	195	55	0	0	0	0	0	0	0	0	0	0	101	294	299	106	9	100	91.56	128.44	299.44	209.56	142
TSS_29102	253.2	384.8	315.8	15.2	195.2	554.4	504.4	357.4	300.4	128.2	203.4	253.6	166.6	206.4	197	100	33	0	0	0	0	4.4	97.6	95.6	22.4	100	149	100	67	200	164	16	196	184	6	151	214	317	358.4	246.6	281.2	275.8	260.4	721.4	927.4	638	373.2	310.6	283.4	127.6
TSS_29104	112.24	47	0	0	0	0	0	55	100	45	0	0	0	0	43	100	125	166	293	276	139	58	0	0	25	100	75	0	0	0	28	112.16	337.84	287.84	34.16	0	89.64	284.36	258.36	121.08	263.56	583.64	675	845.28	858.44	621.16	606.4	578.36	584.8	397.96
